,회사명,corp_eng_name,종목코드
8488,쌈지,"SSAMZIE CO., LTD.",33260
8511,브이오산업,"MORARESOURCE Co., Ltd",18890
8521,코디콤,"KODICOM CO., LTD.",41800
8536,제네시스엔알디,"GENESISNRD CO.,LTD",52640
8596,동북아6호선박투자회사,DongbukaNo.6ShipInv,80410
8605,인네트,"INNET Co., Ltd",41450
8624,한국월드와이드아시아태평양특별자산1호투자회사,Korea World Wide Asia Pacific Special Assets Fund [1],98150
8641,헤파호프코리아,HepaHope Korea Inc.,39350
8762,휴리프,"HULIF CO.,LTD",6210
8777,하이스마텍,"HiSmarTech Co., Ltd.",57100
8786,삼성디지털이미징,"SAMSUNG DIGITAL IMAGING CO., LTD.",108070
8859,씨제이인터넷,CJ Internet Corp.,37150
8860,엠넷미디어,Mnet Media Corp.,56200
8861,온미디어,ON*Media Corporation,45710
8897,유니텍전자,UNITECH ELECTRONICS CO. LTD,39040
8984,위더스기술금융,Nexus Investment Corporation,19430
8992,클라스타,"Clustar Co.,Ltd.",37550
8994,아시아미디어홀딩스,"Asia Media Holdings Co.,Ltd.",52810
9002,아이스테이션,i-station Corporation,56010
9009,동북아21호선박투자회사,"DONGBUKA NO. 21 SHIP INVESTMENT COMPANY CO., LTD.",88010
9028,에이스디지텍,"ACE DIGITECH CO., LTD.",36550
9060,부산저축은행,BUSAN SAVINGS BANK,7830
9077,에피밸리,"EpiValley Co.,Ltd.",68630
9129,오페스,"Opes CO.,LTD.",53470
9135,액티투오,"Acti2O Co., Ltd.",47710
9137,에이치에스씨홀딩스,"GENF Co., Ltd.",38920
9143,한국고덴시,KODENSHIKOREA CORP,27840
9144,나리지*온,Knowledge*on Inc.,36850
9146,프로비타,PROVITA CORPORATION,14420
9152,제로원인터랙티브,"ZeroOne Interactive Co.,Ltd",69470
9153,제일화재해상보험,"FIRST FIRE & MARINE INSURANCE CO.,LTD",610
9154,동북아9호선박투자회사,DONGBUKA NO.9 SHIP INVESTMENT COMPANY,83120
9174,굿이엠지,GOOD EMG.INC,51530
9184,아이드림,IDREAM CORP.,66850
9227,조인에너지,"JOIN ENERGY Co.,Ltd",4820
9241,태광이엔시,"TAE GWANG E AND C CO., LTD",48140
9365,렉스엘이앤지,"REX-L ENG CO., LTD.",4790
9376,코리아퍼시픽05호선박투자회사,"Korea Pacific No.05 Ship Investment Co., Ltd.",93400
9472,엑큐리스,"ACCURIS CO., LTD",48460
9537,우경,"WOO KYUNG CO., LTD",25920
9599,세미텍,"SemiteqCo.,Ltd",81220
9764,그린손해보험,"GREEN NON-LIFE INSURANCE CO., LTD",470
9790,대양글로벌,Daeyang Global Inc.,40180
9793,엔하이테크,"N-HITECH CO., LTD",46720
9848,제너시스템즈,"XENERSYSTEMS,INC.",73930
9874,엘트온,"Visionhightech Co.,Ltd",15050
9921,태산엘시디,"Taesan LCD Co.,Ltd",36210
9964,성원건설,SUNGWON CORPORATION,12090
9967,대우송도개발,"DAEWOO SONGDO DEVELOPMENT Co.,Ltd.",4550
10037,현대금속,HYUNDAE METAL Inc.,18410
10059,트라이써클,"Tricircle Co.,Ltd.",34010
10128,아이비케이에스스마트에스엠이기업인수목적1호,IBKS Smart SME Special Purpose Acquisition Company No.1,126680
10209,네스테크,"Nextech Co., LTD.",37540
10263,동북아5호선박투자회사,"Dongbuka No.5 Ship Investment Company Co., Ltd",80980
10292,파브코,"PYUNG HWA ANTI-VIBRATION SYSTEM CO., LTD.",101990
10346,우리기업인수목적1호,"WOORI SPECIAL PURPOSE ACQUISITION 1 CO., LTD.",122750
10355,뉴젠아이씨티,"NEWGEN ICT CO., LTD",54150
10361,인젠,"INZEN CO.,LTD",41630
10370,지앤에스티,"G&ST CO.,LTD",36920
10601,코크렙제8호위탁관리부동산투자회사,KOCREF REIT VIII,90540
10602,유니온스틸,UNION STEEL,3640
10636,경남모직,"KYUNGNAM WOOL TEXTILE CO.,LTD",1670
10667,대우증권그린코리아기업인수목적회사,Daewoo Securities Green Korea Special Purpose Acquisition Company,121910
10678,지노시스템,"G-Inno Systems CO., LTD.",33850
10704,한국투자신성장1호기업인수목적회사,Korea Investment Securities SPAC No.1,123290
10709,휴먼텍코리아,HUMAN & TECHNOLOGIES CORPORATION,66060
10716,에스에스씨피,"SSCPCo.,Ltd.",71660
10775,평산,"PYEONGSANCo.,Ltd.",89480
10893,지디코프,GDCorp Inc.,36610
10905,아시아퍼시픽2호선박투자회사,"ASIA PACIFIC NO. 2 SHIP INVESTMENT CO.,LTD",81190
10978,무한투자,"Muhan Investment Co., Ltd.",34510
11022,동부티에스블랙펄기업인수목적,Dongbu TS Black Pearl Special Purpose Acquisition Company,128910
11041,블루젬디앤씨,"BLUEGEM D&C CO., LTD.",53040
11045,부국퓨쳐스타즈기업인수목적,Bookook Future Stars Special Purpose Acquisition Company LTD.,123300
11113,예당컴퍼니,"YEDANG COMPANY CO., LTD.",49000
11211,터보테크,"TURBOTEK CO., LTD",32420
11268,케이비물산,KOREA BEST PRODUCE CORP,8540
11276,연합과기공고유한공사,UNITED TECHNOLOGY HOLDINGS COMPANY LIMITED,900030
11343,글로스텍,"GLOSTECH CO.,Ltd.",12410
11345,중국고섬공고유한공사,China Gaoxian Fibre Fabric Holdings Ltd.,950070
11386,코리아퍼시픽06호선박투자회사,"Korea Pacific No.06 Ship Investment Co., Ltd.",93410
11388,나노트로닉스,"NanoTronix Co., Ltd",10670
11549,미래에셋제1호기업인수목적,Miraeasset No.1 Special Purpose Acquisition Company,121950
11562,에이원마이크로,"AONEMICRO, INC.",37380
11563,에이프로테크놀로지,"APRO TECHNOLOGY CO.,LTD.",45470
11758,모린스,"Moreens Co., Ltd",110310
11800,디지텍시스템스,"DIGITECHsystemsCo.,Ltd.",91690
11869,배명금속,"BAEMYUNG METAL CO.,LTD",11800
11895,동북아4호선박투자회사,"Dongbuka No.4 Ship Investment Company Co., Ltd",80970
11947,사라콤,"SARACOM CO., LTD",40020
11996,폴리플러스,"Polyplus Co., Ltd",65610
12040,영찬테크,"Young Chan Tech Co.,Ltd.",85990
12116,케이비부국제1호개발전문위탁관리부동산투자회사,"KB-Bookook No.1 Development Cc., Ltd.",149130
12120,아시아퍼시픽8호선박투자회사,"ASIA PACIFIC NO. 8 SHIP INVESTMENT CO.,LTD",81930
12153,진흥저축은행,JINHEUNG SAVINGS BANK,7200
12172,에듀언스,"EDUENCE CO.,LIMITED",9010
12189,성융광전투자유한공사,SHENGLONG PV-TECH INVESTMENT CO. LIMITED,900150
12234,샤인시스템,"SHINE SYSTEM CO., LTD.",66300
12282,씨모텍,"C-motechCo.,LTD.",81090
12362,에스컴,S Com Inc.,14900
12410,아시아퍼시픽1호선박투자회사,AsiaPacificNo.1,80180
12423,아시아퍼시픽3호선박투자회사,"ASIA PACIFIC NO. 3 SHIP INVESTMENT CO.,LTD.",81200
12448,한국저축은행,KOREA SAVINGS BANK,25610
12454,미리넷,"Millinet Co., Ltd.",56710
12545,3노드디지탈그룹유한공사,"3NODDigitalGroupCo.,Ltd.",900010
12559,유일엔시스,YOUILENSYS Corporation,38720
12793,케이피케미칼,KP CHEMICAL CORP,64420
12801,이루넷,"Iroonet,Inc.",41030
12816,대신증권그로쓰알파기업인수목적,DAISHIN SECURITIES GROWTH ALPHA SPAC,123550
12817,유에이블,"UABLE CO.,LTD.",71530
13071,경윤하이드로에너지,"KyungYoon Hydro Energy CO.,LTD.",19120
13079,롯데미도파,"LOTTE MIDOPA CO.,LTD",4010
13083,한화에스브이명장제1호기업인수목적,Hanwha SV Meister 1st SPAC,124050
13097,셀텍,"Cell Tech Co., LTD.",19260
13098,에스비아이앤솔로몬드림기업인수목적,SBI and Solomon DREAM SPAC,123910
13189,위다스,"Withus Co., Ltd.",56810
13224,에스와이코퍼레이션,"SY Corporation Co., Ltd",8080
13342,어울림네트웍스,"OULLIM NETWORKS, INC.",42820
13369,에이디모터스,"AD Motors Co., Ltd.",38120
13397,평안물산,"Pyeong Ahn Trading, Inc.",37240
13414,아큐텍,"ACQUTEK CO.,LTD",13780
13417,히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160
13431,동북아2호선박투자회사,DongbukaNo.2ShipInv,80030
13486,금강제강,"KumKangsteel Co.,LTD",105070
13621,아라온테크,"Araontech Co., Ltd.",41060
13636,우리금융지주,"WooriFinance Holdings Co.,Ltd.",53000
13692,대국,Daekuk Corporation,42340
